name,description,category,quality,ambientacion,basePrice,minMargin,maxMargin,status
Desayuno Club Plata Menu,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina,  Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Club,760.8695652,0.15,0.25,active
Desayuno Club Plata Mobiliario,"Mesa redonda con mantelería fina,Sillas plegables,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Plata,Club,326.0869565,0.15,0.25,active
Desayuno Ceremonia Plata Menu,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina,  Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Ceremonia,762,0.15,0.25,active
Desayuno Ceremonia Plata Mobiliario,"Mesa redonda con mantelería fina,Sillas plegables,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Plata,Ceremonia,342.3478261,0.15,0.25,active
Desayuno Gala Plata Menu,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina,  Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Gala,375.9130435,0.15,0.25,active
Desayuno Gala Plata Mobiliario,"Mesa redonda con mantelería fina,Sillas plegables,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Plata,Gala,763.2173913,0.15,0.25,active
Desayuno Club Oro Menu,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Club,763.9130435,0.15,0.3,active
Desayuno Club Oro Decoracion,Menú personalizado (2 por mesa),Decoracion,Oro,Club,10.91304348,0.15,0.3,active
Desayuno Club Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany,  Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño, ",Mobiliario,Oro,Club,316.4782609,0.15,0.3,active
Desayuno Ceremonia Oro Menu,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina,  Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Ceremonia,776.0869565,0.15,0.3,active
Desayuno Ceremonia Oro Decoracion,Menú personalizado (2 por mesa),Decoracion,Oro,Ceremonia,11.08695652,0.15,0.3,active
