name,description,category,quality,ambientacion,basePrice,minMargin,maxMargin,status
Desayuno Club Plata Menú,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Club,760.8695652,0.15,0.25,active
Desayuno Club Plata Mobiliario,"Mesa redonda con mantelería fina, Sillas plegables, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Plata,Club,326.0869565,0.15,0.25,active
Desayuno Ceremonia Plata Menú,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Ceremonia,762,0.15,0.25,active
Desayuno Ceremonia Plata Mobiliario,"Mesa redonda con mantelería fina, Sillas plegables, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Plata,Ceremonia,342.3478261,0.15,0.25,active
Desayuno Gala Plata Menú,"Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Papel, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas, por 5 horas efectivas)",Menu,Plata,Gala,375.9130435,0.15,0.25,active
Desayuno Gala Plata Mobiliario,"Mesa redonda con mantelería fina, Sillas plegables, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Plata,Gala,763.2173913,0.15,0.25,active
Desayuno Club Oro Menú,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina, Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Club,763.9130435,0.15,0.3,active
Desayuno Club Oro Decoración,Menú personalizado (2 por mesa),Decoracion,Oro,Club,10.91304348,0.15,0.3,active
Desayuno Club Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Oro,Club,316.4782609,0.15,0.3,active
Desayuno Ceremonia Oro Menú,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina, Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Ceremonia,776.0869565,0.15,0.3,active
Desayuno Ceremonia Oro Decoración,Menú personalizado (2 por mesa),Decoracion,Oro,Ceremonia,11.08695652,0.15,0.3,active
Desayuno Ceremonia Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Oro,Ceremonia,321.5217391,0.15,0.3,active
Desayuno Gala Oro Menú,"Cecina de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina, Servicio de meseros (2 cada 10 personas, por 5 horas efectivas)",Menu,Oro,Gala,785.2173913,0.15,0.3,active
Desayuno Gala Oro Decoración,Menú personalizado (2 por mesa),Decoracion,Oro,Gala,11.2173913,0.15,0.3,active
Desayuno Gala Oro Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Oro,Gala,325.3043478,0.15,0.3,active
Desayuno Club Platino Menú,"Bistec de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas, por 5 horas efectivas), Capitán de Meseros",Menu,Platino,Club,765.1304348,0.15,0.35,active
Desayuno Club Platino Decoración,Menú personalizado (por invitado),Decoracion,Platino,Club,10.93043478,0.15,0.35,active
Desayuno Club Platino Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Platino,Club,316.9826087,0.15,0.35,active
Desayuno Ceremonia Platino Menú,"Bistec de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas, por 5 horas efectivas), Capitán de Meseros",Menu,Platino,Ceremonia,777.3043478,0.15,0.35,active
Desayuno Ceremonia Platino Decoración,Menú personalizado (por invitado),Decoracion,Platino,Ceremonia,11.10434783,0.15,0.35,active
Desayuno Ceremonia Platino Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Platino,Ceremonia,322.026087,0.15,0.35,active
Desayuno Gala Platino Menú,"Bistec de Res con Enchiladas o chilaquiles verdes o rojos acompañados de frijoles refritos, Fruta de temporada con queso cottage, miel y granola artesanal, Café americano (normal y descafeinado), Chocolate (leche deslactosada), Té verde, manzana canela y manzanilla, Pan mini dulce y salado, Servilletas de Lino, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas, por 5 horas efectivas), Capitán de Meseros",Menu,Platino,Gala,785.826087,0.15,0.35,active
Desayuno Gala Platino Decoración,Menú personalizado (por invitado),Decoracion,Platino,Gala,11.22608696,0.15,0.35,active
Desayuno Gala Platino Mobiliario,"Mesa redonda con mantelería fina, Sillas Tiffany, Vajilla, cubiertos y cristalería (Acorde al menú), Plato base de diseño",Mobiliario,Platino,Gala,325.5565217,0.15,0.35,active
Comida o Cena Club Plata Menú,"Menú 3 tiempos base de pollo o cerdo (A elegir) emplatado de 3 tiempos incluye Pan, Barra de refrescos y hielos ilimitados por 6 horas (agua, agua mineral, coca cola, coca light, refresco de toronja, refresco de sabor, limones), Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas por 6 horas efectivas)",Menu,Plata,Club,966.9565217,0.15,0.25,active
Comida o Cena Club Plata Mobiliario,"Mesas Club, con mantelería fina, Silla Plegable, Vajilla y plaqué, Cristalería (vaso highball, copa tinto, old fashion y caballitos), Plato base de diseño",Mobiliario,Plata,Club,205.4782609,0.15,0.25,active
Comida o Cena Club Plata Decoración,"Servilletas de papel, Centros de mesa bajos para mesa redonda con flor de temporada y follajes finos",Decoracion,Plata,Club,36.26086957,0.15,0.25,active
Comida o Cena Ceremonia Plata Menú,"Menú 3 tiempos base de pollo o cerdo (A elegir) emplatado de 3 tiempos incluye Pan, Barra de refrescos y hielos ilimitados por 6 horas (agua, agua mineral, coca cola, coca light, refresco de toronja, refresco de sabor, limones), Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas por 6 horas efectivas)",Menu,Plata,Ceremonia,949.5652174,0.15,0.25,active
Comida o Cena Ceremonia Plata Mobiliario,"Mesas Club, con mantelería fina, Silla Plegable, Vajilla y plaqué, Cristalería (vaso highball, copa tinto, old fashion y caballitos), Plato base de diseño",Mobiliario,Plata,Ceremonia,231.3043478,0.15,0.25,active
Comida o Cena Ceremonia Plata Decoración,"Servilletas de papel, Centros de mesa bajos para mesa redonda con flor de temporada y follajes finos",Decoracion,Plata,Ceremonia,36.52173913,0.15,0.25,active
Comida o Cena Gala Plata Menú,"Menú 3 tiempos base de pollo o cerdo (A elegir) emplatado de 3 tiempos incluye Pan, Barra de refrescos y hielos ilimitados por 6 horas (agua, agua mineral, coca cola, coca light, refresco de toronja, refresco de sabor, limones), Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas por 6 horas efectivas)",Menu,Plata,Gala,914.3478261,0.15,0.25,active
Comida o Cena Gala Plata Mobiliario,"Mesas Club, con mantelería fina, Silla Plegable, Vajilla y plaqué, Cristalería (vaso highball, copa tinto, old fashion y caballitos), Plato base de diseño",Mobiliario,Plata,Gala,268.2086957,0.15,0.25,active
Comida o Cena Gala Plata Decoración,"Servilletas de papel, Centros de mesa bajos para mesa redonda con flor de temporada y follajes finos",Decoracion,Plata,Gala,36.57391304,0.15,0.25,active
Comida o Cena Ceremonia Oro Menú,"Menú 3 tiempos base de Pollo Cerdo o Res (a elegir) emplatado de 3 tiempos incluye Pan, Barra de refrescos y hielos ilimitados por 7 horas (agua, agua mineral, coca cola, coca light, refresco de toronja, refresco de sabor, limones), Servicio de Café y Té, Personal y equipo de cocina, Servicio de meseros (1 cada 10 personas por 6 horas efectivas), Capitán de Meseros",Menu,Oro,Ceremonia,972.0434783,0.15,0.3,active
Comida o Cena Ceremonia Oro Mobiliario,"Mesa redonda con mantelería fina (6) + Mesa de madera Rústica (4), Sillas Crossback o Versalles + Tiffany con funda, Vajilla y plaqué, Cristalería (vaso highball, copa tinto, old fashion y caballitos), Plato base de diseño",Mobiliario,Oro,Ceremonia,221.4782609,0.15,0.3,active
